"","Sample","strain","replication","substrate","concentration","hour","values","substrate_groups","temperature"
"1","388/24","G321/23","2","Guanidine hydrochloride",1,24,0.207,"membrane function compounds","24"
"2","402/24","G322/23","1","Guanidine hydrochloride",1,48,0.107,"membrane function compounds","24"
"3","403/24","G322/23","2","Guanidine hydrochloride",1,24,0.109,"membrane function compounds","24"
"4","404/24","G322/23","3","Guanidine hydrochloride",1,24,0.104,"membrane function compounds","24"
"5","403/24","G322/23","2","Guanidine hydrochloride",1,0,0.093,"membrane function compounds","24"
"6","404/24","G322/23","3","Guanidine hydrochloride",1,48,0.097,"membrane function compounds","24"
"7","419/24","G323/23","3","Guanidine hydrochloride",1,48,0.107,"membrane function compounds","24"
"8","387/24","G321/23","1","Guanidine hydrochloride",1,96,0.448,"membrane function compounds","24"
"9","417/24","G323/23","1","Guanidine hydrochloride",1,0,0.095,"membrane function compounds","24"
"10","404/24","G322/23","3","Guanidine hydrochloride",1,0,0.093,"membrane function compounds","24"
"11","417/24","G323/23","1","Guanidine hydrochloride",1,72,0.518,"membrane function compounds","24"
"12","417/24","G323/23","1","Guanidine hydrochloride",1,96,1.372,"membrane function compounds","24"
"13","387/24","G321/23","1","Guanidine hydrochloride",1,24,0.107,"membrane function compounds","24"
"14","388/24","G321/23","2","Guanidine hydrochloride",1,48,0.232,"membrane function compounds","24"
"15","402/24","G322/23","1","Guanidine hydrochloride",1,96,1.055,"membrane function compounds","24"
"16","419/24","G323/23","3","Guanidine hydrochloride",1,0,0.094,"membrane function compounds","24"
"17","419/24","G323/23","3","Guanidine hydrochloride",1,72,0.117,"membrane function compounds","24"
"18","388/24","G321/23","2","Guanidine hydrochloride",1,96,0.733,"membrane function compounds","24"
"19","402/24","G322/23","1","Guanidine hydrochloride",1,24,0.102,"membrane function compounds","24"
"20","389/24","G321/23","3","Guanidine hydrochloride",1,48,0.092,"membrane function compounds","24"
"21","389/24","G321/23","3","Guanidine hydrochloride",1,72,0.09,"membrane function compounds","24"
"22","388/24","G321/23","2","Guanidine hydrochloride",1,72,0.125,"membrane function compounds","24"
"23","417/24","G323/23","1","Guanidine hydrochloride",1,48,0.119,"membrane function compounds","24"
"24","417/24","G323/23","1","Guanidine hydrochloride",1,24,0.106,"membrane function compounds","24"
"25","403/24","G322/23","2","Guanidine hydrochloride",1,72,0.399,"membrane function compounds","24"
"26","387/24","G321/23","1","Guanidine hydrochloride",1,48,0.099,"membrane function compounds","24"
"27","404/24","G322/23","3","Guanidine hydrochloride",1,96,0.128,"membrane function compounds","24"
"28","404/24","G322/23","3","Guanidine hydrochloride",1,72,0.091,"membrane function compounds","24"
"29","389/24","G321/23","3","Guanidine hydrochloride",1,0,0.092,"membrane function compounds","24"
"30","403/24","G322/23","2","Guanidine hydrochloride",1,96,1.219,"membrane function compounds","24"
"31","418/24","G323/23","2","Guanidine hydrochloride",1,48,0.107,"membrane function compounds","24"
"32","418/24","G323/23","2","Guanidine hydrochloride",1,96,0.697,"membrane function compounds","24"
"33","402/24","G322/23","1","Guanidine hydrochloride",1,0,0.1,"membrane function compounds","24"
"34","389/24","G321/23","3","Guanidine hydrochloride",1,24,0.095,"membrane function compounds","24"
"35","419/24","G323/23","3","Guanidine hydrochloride",1,96,0.584,"membrane function compounds","24"
"36","418/24","G323/23","2","Guanidine hydrochloride",1,0,0.091,"membrane function compounds","24"
"37","419/24","G323/23","3","Guanidine hydrochloride",1,24,0.108,"membrane function compounds","24"
"38","388/24","G321/23","2","Guanidine hydrochloride",1,0,0.098,"membrane function compounds","24"
"39","387/24","G321/23","1","Guanidine hydrochloride",1,0,0.097,"membrane function compounds","24"
"40","403/24","G322/23","2","Guanidine hydrochloride",1,48,0.104,"membrane function compounds","24"
"41","402/24","G322/23","1","Guanidine hydrochloride",1,72,0.304,"membrane function compounds","24"
"42","418/24","G323/23","2","Guanidine hydrochloride",1,24,0.108,"membrane function compounds","24"
"43","389/24","G321/23","3","Guanidine hydrochloride",1,96,0.089,"membrane function compounds","24"
"44","418/24","G323/23","2","Guanidine hydrochloride",1,72,0.154,"membrane function compounds","24"
"45","387/24","G321/23","1","Guanidine hydrochloride",1,72,0.094,"membrane function compounds","24"
"46","390/24","G321/23","1","L-Glutamic acid g-hydroxamate",1,0,0.095,"others","24"
"47","391/24","G321/23","2","L-Glutamic acid g-hydroxamate",1,48,0.099,"others","24"
"48","405/24","G322/23","1","L-Glutamic acid g-hydroxamate",1,72,0.661,"others","24"
"49","392/24","G321/23","3","L-Glutamic acid g-hydroxamate",1,96,0.296,"others","24"
"50","391/24","G321/23","2","L-Glutamic acid g-hydroxamate",1,0,0.097,"others","24"
"51","406/24","G322/23","2","L-Glutamic acid g-hydroxamate",1,96,0,"others","24"
"52","392/24","G321/23","3","L-Glutamic acid g-hydroxamate",1,0,0.095,"others","24"
"53","391/24","G321/23","2","L-Glutamic acid g-hydroxamate",1,96,0.517,"others","24"
"54","405/24","G322/23","1","L-Glutamic acid g-hydroxamate",1,48,0.147,"others","24"
"55","405/24","G322/23","1","L-Glutamic acid g-hydroxamate",1,0,0.095,"others","24"
"56","407/24","G322/23","3","L-Glutamic acid g-hydroxamate",1,24,0.106,"others","24"
"57","422/24","G323/23","3","L-Glutamic acid g-hydroxamate",1,72,0.361,"others","24"
"58","420/24","G323/23","1","L-Glutamic acid g-hydroxamate",1,72,0.143,"others","24"
"59","406/24","G322/23","2","L-Glutamic acid g-hydroxamate",1,48,0.122,"others","24"
"60","420/24","G323/23","1","L-Glutamic acid g-hydroxamate",1,96,1.001,"others","24"
"61","405/24","G322/23","1","L-Glutamic acid g-hydroxamate",1,96,1.343,"others","24"
"62","420/24","G323/23","1","L-Glutamic acid g-hydroxamate",1,48,0.113,"others","24"
"63","407/24","G322/23","3","L-Glutamic acid g-hydroxamate",1,96,1.23,"others","24"
"64","391/24","G321/23","2","L-Glutamic acid g-hydroxamate",1,24,0.1,"others","24"
"65","422/24","G323/23","3","L-Glutamic acid g-hydroxamate",1,24,0.103,"others","24"
"66","392/24","G321/23","3","L-Glutamic acid g-hydroxamate",1,72,0.095,"others","24"
"67","406/24","G322/23","2","L-Glutamic acid g-hydroxamate",1,24,0.119,"others","24"
"68","421/24","G323/23","2","L-Glutamic acid g-hydroxamate",1,96,0.486,"others","24"
"69","421/24","G323/23","2","L-Glutamic acid g-hydroxamate",1,0,0.12,"others","24"
"70","422/24","G323/23","3","L-Glutamic acid g-hydroxamate",1,96,1.198,"others","24"
"71","422/24","G323/23","3","L-Glutamic acid g-hydroxamate",1,48,0.103,"others","24"
"72","406/24","G322/23","2","L-Glutamic acid g-hydroxamate",1,72,0.366,"others","24"
"73","406/24","G322/23","2","L-Glutamic acid g-hydroxamate",1,96,0.9,"others","24"
"74","421/24","G323/23","2","L-Glutamic acid g-hydroxamate",1,48,0.222,"others","24"
"75","407/24","G322/23","3","L-Glutamic acid g-hydroxamate",1,72,0.445,"others","24"
"76","390/24","G321/23","1","L-Glutamic acid g-hydroxamate",1,48,0.186,"others","24"
"77","390/24","G321/23","1","L-Glutamic acid g-hydroxamate",1,72,0.94,"others","24"
"78","406/24","G322/23","2","L-Glutamic acid g-hydroxamate",1,0,0.1,"others","24"
"79","421/24","G323/23","2","L-Glutamic acid g-hydroxamate",1,24,0.221,"others","24"
"80","421/24","G323/23","2","L-Glutamic acid g-hydroxamate",1,72,0.193,"others","24"
"81","422/24","G323/23","3","L-Glutamic acid g-hydroxamate",1,0,0.106,"others","24"
"82","407/24","G322/23","3","L-Glutamic acid g-hydroxamate",1,48,0.115,"others","24"
"83","390/24","G321/23","1","L-Glutamic acid g-hydroxamate",1,24,0.099,"others","24"
"84","392/24","G321/23","3","L-Glutamic acid g-hydroxamate",1,24,0.099,"others","24"
"85","405/24","G322/23","1","L-Glutamic acid g-hydroxamate",1,24,0.124,"others","24"
"86","407/24","G322/23","3","L-Glutamic acid g-hydroxamate",1,0,0.094,"others","24"
"87","420/24","G323/23","1","L-Glutamic acid g-hydroxamate",1,24,0.109,"others","24"
"88","420/24","G323/23","1","L-Glutamic acid g-hydroxamate",1,0,0.095,"others","24"
"89","390/24","G321/23","1","L-Glutamic acid g-hydroxamate",1,96,1.413,"others","24"
"90","391/24","G321/23","2","L-Glutamic acid g-hydroxamate",1,72,0.132,"others","24"
"91","392/24","G321/23","3","L-Glutamic acid g-hydroxamate",1,48,0.093,"others","24"
"92","408/24","G322/23","1","Benzethonium Chloride",1,0,0.099,"membrane function compounds","24"
"93","425/24","G323/23","3","Benzethonium Chloride",1,24,0.103,"membrane function compounds","24"
"94","423/24","G323/23","1","Benzethonium Chloride",1,0,0.095,"membrane function compounds","24"
"95","425/24","G323/23","3","Benzethonium Chloride",1,96,1.294,"membrane function compounds","24"
"96","393/24","G321/23","1","Benzethonium Chloride",1,24,0.122,"membrane function compounds","24"
"97","393/24","G321/23","1","Benzethonium Chloride",1,48,0.122,"membrane function compounds","24"
"98","424/24","G323/23","2","Benzethonium Chloride",1,0,0.093,"membrane function compounds","24"
"99","409/24","G322/23","2","Benzethonium Chloride",1,72,0.093,"membrane function compounds","24"
"100","408/24","G322/23","1","Benzethonium Chloride",1,72,0.285,"membrane function compounds","24"
"101","395/24","G321/23","3","Benzethonium Chloride",1,24,0.135,"membrane function compounds","24"
"102","423/24","G323/23","1","Benzethonium Chloride",1,96,0.657,"membrane function compounds","24"
"103","423/24","G323/23","1","Benzethonium Chloride",1,24,0.118,"membrane function compounds","24"
"104","393/24","G321/23","1","Benzethonium Chloride",1,96,1.327,"membrane function compounds","24"
"105","394/24","G321/23","2","Benzethonium Chloride",1,24,0.15,"membrane function compounds","24"
"106","425/24","G323/23","3","Benzethonium Chloride",1,48,0.105,"membrane function compounds","24"
"107","393/24","G321/23","1","Benzethonium Chloride",1,0,0.096,"membrane function compounds","24"
"108","424/24","G323/23","2","Benzethonium Chloride",1,96,0.145,"membrane function compounds","24"
"109","423/24","G323/23","1","Benzethonium Chloride",1,48,0.107,"membrane function compounds","24"
"110","425/24","G323/23","3","Benzethonium Chloride",1,72,0.401,"membrane function compounds","24"
"111","409/24","G322/23","2","Benzethonium Chloride",1,96,0.093,"membrane function compounds","24"
"112","425/24","G323/23","3","Benzethonium Chloride",1,0,0.098,"membrane function compounds","24"
"113","395/24","G321/23","3","Benzethonium Chloride",1,0,0.111,"membrane function compounds","24"
"114","394/24","G321/23","2","Benzethonium Chloride",1,72,0.15,"membrane function compounds","24"
"115","394/24","G321/23","2","Benzethonium Chloride",1,48,0.157,"membrane function compounds","24"
"116","410/24","G322/23","3","Benzethonium Chloride",1,72,0.447,"membrane function compounds","24"
"117","410/24","G322/23","3","Benzethonium Chloride",1,48,0.101,"membrane function compounds","24"
"118","423/24","G323/23","1","Benzethonium Chloride",1,72,0.111,"membrane function compounds","24"
"119","423/24","G323/23","1","Benzethonium Chloride",1,48,0,"membrane function compounds","24"
"120","395/24","G321/23","3","Benzethonium Chloride",1,96,1.4,"membrane function compounds","24"
"121","408/24","G322/23","1","Benzethonium Chloride",1,24,0.103,"membrane function compounds","24"
"122","394/24","G321/23","2","Benzethonium Chloride",1,96,0.165,"membrane function compounds","24"
"123","410/24","G322/23","3","Benzethonium Chloride",1,96,1.278,"membrane function compounds","24"
"124","409/24","G322/23","2","Benzethonium Chloride",1,24,0.105,"membrane function compounds","24"
"125","410/24","G322/23","3","Benzethonium Chloride",1,24,0.111,"membrane function compounds","24"
"126","394/24","G321/23","2","Benzethonium Chloride",1,0,0.106,"membrane function compounds","24"
"127","409/24","G322/23","2","Benzethonium Chloride",1,0,0.099,"membrane function compounds","24"
"128","395/24","G321/23","3","Benzethonium Chloride",1,48,0.17,"membrane function compounds","24"
"129","408/24","G322/23","1","Benzethonium Chloride",1,48,0.102,"membrane function compounds","24"
"130","408/24","G322/23","1","Benzethonium Chloride",1,96,1.185,"membrane function compounds","24"
"131","424/24","G323/23","2","Benzethonium Chloride",1,72,0.094,"membrane function compounds","24"
"132","410/24","G322/23","3","Benzethonium Chloride",1,0,0.096,"membrane function compounds","24"
"133","409/24","G322/23","2","Benzethonium Chloride",1,48,0.097,"membrane function compounds","24"
"134","393/24","G321/23","1","Benzethonium Chloride",1,72,0.432,"membrane function compounds","24"
"135","424/24","G323/23","2","Benzethonium Chloride",1,24,0.1,"membrane function compounds","24"
"136","395/24","G321/23","3","Benzethonium Chloride",1,72,0.847,"membrane function compounds","24"
"137","424/24","G323/23","2","Benzethonium Chloride",1,48,0.096,"membrane function compounds","24"
"138","426/24","G323/23","1","Aparamycin Sulfate",1,96,0.172,"antibiotics","24"
"139","427/24","G323/23","2","Aparamycin Sulfate",1,96,0.351,"antibiotics","24"
"140","413/24","G322/23","3","Aparamycin Sulfate",1,96,1.238,"antibiotics","24"
"141","427/24","G323/23","2","Aparamycin Sulfate",1,72,0.112,"antibiotics","24"
"142","426/24","G323/23","1","Aparamycin Sulfate",1,0,0.103,"antibiotics","24"
"143","426/24","G323/23","1","Aparamycin Sulfate",1,24,0.108,"antibiotics","24"
"144","413/24","G322/23","3","Aparamycin Sulfate",1,0,0.095,"antibiotics","24"
"145","412/24","G322/23","2","Aparamycin Sulfate",1,72,0.448,"antibiotics","24"
"146","413/24","G322/23","3","Aparamycin Sulfate",1,72,0.354,"antibiotics","24"
"147","397/24","G321/23","2","Aparamycin Sulfate",1,0,0.096,"antibiotics","24"
"148","412/24","G322/23","2","Aparamycin Sulfate",1,96,1.248,"antibiotics","24"
"149","396/24","G321/23","1","Aparamycin Sulfate",1,96,0.748,"antibiotics","24"
"150","397/24","G321/23","2","Aparamycin Sulfate",1,48,0.1,"antibiotics","24"
"151","396/24","G321/23","1","Aparamycin Sulfate",1,24,0.1,"antibiotics","24"
"152","413/24","G322/23","3","Aparamycin Sulfate",1,48,0.1,"antibiotics","24"
"153","411/24","G322/23","1","Aparamycin Sulfate",1,72,0.253,"antibiotics","24"
"154","427/24","G323/23","2","Aparamycin Sulfate",1,48,0.1,"antibiotics","24"
"155","428/24","G323/23","3","Aparamycin Sulfate",1,24,0.103,"antibiotics","24"
"156","397/24","G321/23","2","Aparamycin Sulfate",1,24,0.108,"antibiotics","24"
"157","412/24","G322/23","2","Aparamycin Sulfate",1,0,0.099,"antibiotics","24"
"158","398/24","G321/23","3","Aparamycin Sulfate",1,48,0.097,"antibiotics","24"
"159","413/24","G322/23","3","Aparamycin Sulfate",1,24,0.1,"antibiotics","24"
"160","396/24","G321/23","1","Aparamycin Sulfate",1,72,0.17,"antibiotics","24"
"161","398/24","G321/23","3","Aparamycin Sulfate",1,24,0.104,"antibiotics","24"
"162","397/24","G321/23","2","Aparamycin Sulfate",1,72,0.264,"antibiotics","24"
"163","398/24","G321/23","3","Aparamycin Sulfate",1,72,0.152,"antibiotics","24"
"164","411/24","G322/23","1","Aparamycin Sulfate",1,48,0.147,"antibiotics","24"
"165","428/24","G323/23","3","Aparamycin Sulfate",1,0,0.095,"antibiotics","24"
"166","398/24","G321/23","3","Aparamycin Sulfate",1,96,0.879,"antibiotics","24"
"167","427/24","G323/23","2","Aparamycin Sulfate",1,0,0.097,"antibiotics","24"
"168","426/24","G323/23","1","Aparamycin Sulfate",1,72,0.106,"antibiotics","24"
"169","428/24","G323/23","3","Aparamycin Sulfate",1,72,0.178,"antibiotics","24"
"170","396/24","G321/23","1","Aparamycin Sulfate",1,0,0.096,"antibiotics","24"
"171","427/24","G323/23","2","Aparamycin Sulfate",1,24,0.102,"antibiotics","24"
"172","396/24","G321/23","1","Aparamycin Sulfate",1,48,0.101,"antibiotics","24"
"173","428/24","G323/23","3","Aparamycin Sulfate",1,96,0.565,"antibiotics","24"
